Cy	ADVgen	ci
senestre	ADJqua	senestre
,	PONfbl	,
a	PRE	a
une	DETndf	un
chappelle	NOMcom	chapelle
fondée	VERppe	fonder
de	PRE	de
Nostre	DETpos	notre
Dame	NOMcom	dame
.	PONfrt	.

En	PRE	en
celle	DETdem	cil
place	NOMcom	place
s'	PROper	soi
apparut	VERcjg	apparoir
Nostre	DETpos	notre
Dame	NOMcom	dame
aux	PRE.DETdef	à.le
moignes	NOMcom	moigne
de	PRE	de
Saincte	ADJqua	saint
Katherine	NOMpro	Catherine
,	PONfbl	,
qui	PROrel	que
l'	DETdef	le
abbaye	NOMcom	abbaye
avoient	VERcjg	avoir
laissée	VERppe	laisser
et	CONcoo	et
n'	ADVneg	ne
y	PROadv	y
vouloient	VERcjg	vouloir
ne	ADVneg	ne
povoient	VERcjg	pouvoir
plus	ADVgen	plus
habitter	VERinf	habiter
pour	PRE	pour
la	DETdef	le
multitude	NOMcom	multitude
des	PRE.DETdef	de.le
mousches	NOMcom	mouche
qui	PROrel	que
la	ADVgen	là
estoient	VERcjg	être
.	PONfrt	.

Et	CONcoo	et
dont	PROrel	dont
leur	PROper	leur
dist	VERcjg	dire
qu'	CONsub	que
il	PROper	il
retournassent	VERcjg	retourner
en	PRE	en
leur	DETpos	leur
abaye	NOMcom	abbaye
,	PONfbl	,
car	CONcoo	car
de	PRE	de
la	ADVgen	là
en	PRE	en
avant	ADVgen	avant
telz	DETind	tel
vermines	NOMcom	vermine
de	PRE	de
mouches	NOMcom	mouche
n'	ADVneg	ne
y	PROadv	y
habitteroient	VERcjg	habiter
:	PONfbl	:
et	CONcoo	et
c'	PROdem	ce
est	VERcjg	estre
chose	NOMcom	chose
certaine	ADJqua	certain
.	PONfrt	.

Item	ETR	item
,	PONfbl	,
en	PRE	en
montant	VERppa	monter
tousjours	ADVgen	toujours
amont	ADVgen	amont
,	PONfbl	,
trouvasmes	VERcjg	trouver
deux	DETcar	deux
petites	ADJqua	petit
portes	NOMcom	porte
faictes	VERppe	faire
des	PRE.DETdef	de.le
roches	NOMcom	roche
mesmes	ADJind	même
en	PRE	en
partie	NOMcom	partie
et	CONcoo	et
d'	PRE	de
aultres	DETind	autre
pierres	NOMcom	piere
taillées	VERppe	tailler
;	PONfbl	;
et	CONcoo	et
sachiez	VERcjg	savoir
qu'	CONsub	que
il	PROimp	il
y	PROadv	y
a	VERcjg	avoir
moult	ADVgen	moult
fort	ADJqua	fort
pas	NOMcom	pas
.	PONfrt	.

Item	ETR	item
,	PONfbl	,
en	PRE	en
montant	VERppa	monter
tousjours	ADVgen	toujours
amont	ADVgen	amont
,	PONfbl	,
a	PRE	a
deux	DETcar	deux
chappelles	NOMcom	chapelet
l'	DETdef	le
une	PROind	un
emprès	PRE	emprès
l'	DETdef	le
autre	PROind	autre
,	PONfbl	,
et	CONcoo	et
plus	ADVgen	plus
grande	ADJqua	grand
l'	DETdef	le
une	PROind	un
que	CONsub	que
l'	DETdef	le
autre	PROind	autre
,	PONfbl	,
dont	PROrel	dont
la	DETdef	le
plus	ADVgen	plus
petite	ADJqua	petit
est	VERcjg	estre
a	PRE	a
la	DETdef	le
main	NOMcom	main
destre	ADJqua	destre
en	PRE	en
montant	VERppa	monter
,	PONfbl	,
et	CONcoo	et
est	VERcjg	estre
fondée	VERppe	fonder
de	PRE	de
saincte	ADJqua	saint
Marguerite	NOMpro	Marguerite
;	PONfbl	;
et	CONcoo	et
l'	DETdef	le
autre	PROind	autre
qui	PROrel	que
est	VERcjg	estre
a	PRE	a
main	NOMcom	main
senestre	ADJqua	senestre
est	VERcjg	estre
appellée	VERppe	appeler
la	DETdef	le
chappelle	NOMcom	chapelle
Helie	NOMpro	Elie
.	PONfrt	.

En	PRE	en
cestedicte	DETdem	cesticte
chappelle	NOMcom	chapelle
de	PRE	de
Helie	NOMpro	Elie
a	VERcjg	avoir
mout	ADVgen	mout
digne	ADJqua	digne
lieu	NOMcom	lieu
et	CONcoo	et
assés	ADVgen	assez
bel	ADJqua	bel
;	PONfbl	;
il	PROimp	il
y	PROadv	y
a	VERcjg	avoir
autel	PROind	autel
ainsi	ADVgen	ainsi
comme	CONsub	comme
en	PRE	en
trois	DETcar	trois
chappelles	NOMcom	chapelet
dont	PROrel	dont
,	PONfbl	,
en	PRE	en
la	DETdef	le
premiere	NOMcom	premiere
a	PRE	a
main	NOMcom	main
destre	ADJqua	destre
,	PONfbl	,
est	VERcjg	estre
le	DETdef	le
saint	ADJqua	saint
lieu	NOMcom	lieu
ou	PROrel	où
Nostre	DETpos	notre
Seigneur	NOMcom	seigneur
parla	VERcjg	parler
audit	PRE.DETcom	à.ledit
Helie	NOMpro	Elie
;	PONfbl	;
en	PRE	en
la	DETdef	le
seconde	PROord	secont
,	PONfbl	,
qui	PROrel	que
est	VERcjg	estre
la	DETdef	le
plus	ADVgen	plus
grande	ADJqua	grand
,	PONfbl	,
est	VERcjg	estre
le	DETdef	le
saint	ADJqua	saint
lieu	NOMcom	lieu
ou	PROrel	où
Nostre	DETpos	notre
Seigneur	NOMcom	seigneur
envoya	VERcjg	envoyer
a	PRE	a
menger	VERinf	manger
audit	PRE.DETcom	à.ledit
Helie	NOMpro	Elie
par	PRE	par
ung	DETndf	un
corbeil	NOMcom	corbeau
;	PONfbl	;
et	CONcoo	et
en	PRE	en
la	DETdef	le
tierce	ADJord	tiers
chappelle	NOMcom	chapelle
a	PRE	a
main	NOMcom	main
senestre	ADJqua	senestre
,	PONfbl	,
est	VERcjg	estre
le	DETdef	le
saint	ADJqua	saint
lieu	NOMcom	lieu
ou	PROrel	où
saint	ADJqua	saint
Alexis	NOMpro	Alexis
fist	VERcjg	faire
sa	DETpos	son
penitance	NOMcom	penitence
.	PONfrt	.

Et	CONcoo	et
quant	CONsub	cant
l'en	PROind	loin
est	VERcjg	estre
montés	VERppe	monter
jusques	PRE	jusque
au	PRE.DETdef	a
plus	ADVgen	plus
hault	ADJqua	haut
de	PRE	de
ladite	DETcom	ledit
monteigne	NOMcom	montaigne
,	PONfbl	,
illec	ADVgen	illuec
voit	VERcjg	vëoir
l'en	PROind	loin
et	CONcoo	et
y	PROadv	y
a	VERcjg	avoir
une	DETndf	un
belle	ADJqua	beau
petite	ADJqua	petit
eglise	NOMcom	église
ainsi	ADVgen	ainsi
comme	CONsub	comme
une	DETndf	un
chappelle	NOMcom	chapelle
;	PONfbl	;
illec	ADVgen	illuec
a	VERcjg	avoir
moult	ADVgen	moult
bel	ADJqua	bel
et	CONcoo	et
saint	ADJqua	saint
lieu	NOMcom	lieu
.	PONfrt	.

Celle	DETdem	cil
chappelle	NOMcom	chapelle
est	VERcjg	estre
la	DETdef	le
chappelle	NOMcom	chapelle
de	PRE	de
Moyse	NOMpro	Moise
.	PONfrt	.

Sy	ADVgen	si
devez	VERcjg	devoir
savoir	VERinf	savoir
que	CONsub	que
tout	PROind	tout
au	PRE.DETdef	a
dehors	ADVgen	defors
de	PRE	de
celle	DETdem	cil
chappelle	NOMcom	chapelle
,	PONfbl	,
tout	ADVgen	tout
au	PRE.DETdef	a
droit	NOMcom	droit
du	PRE.DETdef	de.le
cuer	NOMcom	cuer
,	PONfbl	,
a	PRE	a
main	NOMcom	main
senestre	ADJqua	senestre
en	PRE	en
montant	VERppa	monter
,	PONfbl	,
a	PRE	a
une	DETndf	un
grant	ADJqua	grant
et	CONcoo	et
grosse	ADJqua	gros
roche	NOMcom	roche
en	PRE	en
laquelle	PROrel	lequel
a	PRE	a
une	DETndf	un
place	NOMcom	place
vuide	VERcjg	vuidier
si	ADVgen	si
comme	CONsub	comme
pour	PRE	pour
gesir	VERinf	gésir
une	DETndf	un
personne	NOMcom	personne
.	PONfrt	.

Et	CONcoo	et
est	VERcjg	estre
verité	NOMcom	verité
que	CONsub	que
Nostre	DETpos	notre
Seigneur	NOMcom	seigneur
parloit	VERcjg	parler
une	DETndf	un
fois	NOMcom	fois
a	PRE	a
Moyse	NOMpro	Moise
sans	PRE	sans
ce	PROdem	ce
qu'	CONsub	que
il	PROper	il
le	PROper	il
veist	VERcjg	voir
,	PONfbl	,
dont	PROrel	dont
il	PROper	il
ot	VERcjg	avoir
si	ADVgen	si
grant	ADJqua	grant
paour	NOMcom	peur
quant	CONsub	cant
il	PROper	il
oyt	VERcjg	ouïr
la	DETdef	le
voix	NOMcom	voix
de	PRE	de
Nostre	DETpos	notre
Seigneur	NOMcom	seigneur
qu'	CONsub	que
il	PROper	il
recula	VERcjg	reculer
tant	ADVgen	tant
qu'	CONsub	que
il	PROper	il
pot	VERcjg	pöoir
,	PONfbl	,
et	CONcoo	et
en	PRE	en
reculant	VERppa	recouler
se	PROper	soi
ferit	VERcjg	férir
en	PRE	en
ladite	DETcom	ledit
roche	NOMcom	roche
si	ADVgen	si
grant	ADJqua	grant
cop	NOMcom	coup
qu'	CONsub	que
il	PROper	il
se	PROper	soi
fust	VERcjg	estre
tout	ADVgen	tout
deffroissés	VERppe	deffroisser
,	PONfbl	,
ce	PROdem	ce
ne	ADVneg	ne
fust	VERcjg	estre
que	CONsub	que
Nostre	DETpos	notre
Seigneur	NOMcom	seigneur
voult	VERcjg	vouloir
que	CONsub	que
la	DETdef	le
roche	NOMcom	roche
fust	VERcjg	estre
mole	ADJqua	mol
comme	CONsub	comme
cire	NOMcom	cire
a	PRE	a
celle	DETdem	cil
fois	NOMcom	fois
:	PONfbl	:
et	CONcoo	et
pour	PRE	pour
ce	PROdem	ce
entra	VERcjg	entrer
du	PRE.DETdef	de.le
corps	NOMcom	corps
Moyse	NOMpro	Moise
grant	ADJqua	grant
partie	NOMcom	partie
dedans	PRE	dedans
ladite	DETcom	ledit
roche	NOMcom	roche
,	PONfbl	,
si	ADVgen	si
comme	CONsub	comme
il	PROimp	il
est	VERcjg	estre
apparant	VERppa	apparoir
,	PONfbl	,
especiallement	ADVgen	espécialement
dès	PRE	dès
les	DETdef	le
cuisses	NOMcom	cuisse
en	PRE	en
amont	ADVgen	amont
.	PONfrt	.

En	PRE	en
celle	DETdem	cil
place	NOMcom	place
font	VERcjg	faire
les	DETdef	le
Chrestiens	NOMpro	Chrestiien
leur	DETpos	leur
devocion	NOMcom	devocïon
,	PONfbl	,
et	CONcoo	et
se	PROper	soi
couche	VERcjg	couchier
qui	PROrel	que
veult	VERcjg	vouloir
illec	ADVgen	illuec
par	PRE	par
devocion	NOMcom	devocïon
.	PONfrt	.

Item	ETR	item
,	PONfbl	,
dedans	PRE	dedans
ladite	DETcom	ledit
chappelle	NOMcom	chapelle
de	PRE	de
Moyse	NOMpro	Moise
,	PONfbl	,
est	VERcjg	estre
le	DETdef	le
saint	ADJqua	saint
lieu	NOMcom	lieu
ouquel	PRE.PROrel	en.lequel
Nostre	DETpos	notre
Seigneur	NOMcom	seigneur
donna	VERcjg	donner
la	DETdef	le
loi	NOMcom	loi
a	PRE	a
Moyse	NOMpro	Moise
.	PONfrt	.

Ce	PROdem	ce
fut	VERcjg	être
proprement	ADVgen	proprement
ou	PRE.DETdef	en.le
lieu	NOMcom	lieu
ou	PROrel	où
est	VERcjg	estre
le	DETdef	le
grant	ADJqua	grant
autel	NOMcom	autel
.	PONfrt	.

Item	ETR	item
,	PONfbl	,
dedans	PRE	dedans
celledicte	DETcom	celedit
chappelle	NOMcom	chapelle
,	PONfbl	,
a	PRE	a
main	NOMcom	main
senestre	ADJqua	senestre
,	PONfbl	,
a	PRE	a
un	DETndf	un
autel	NOMcom	autel
en	PRE	en
une	DETndf	un
petite	ADJqua	petit
chappellette	NOMcom	chappelet
qui	PROrel	que
est	VERcjg	estre
fondée	VERppe	fonder
de	PRE	de
Sainct	ADJqua	saint
Michiel	NOMpro	Michel
l'	DETdef	le
arcange	NOMcom	archange
.	PONfrt	.

Celle	DETdem	cil
eglise	NOMcom	église
est	VERcjg	estre
bien	ADVgen	bien
et	CONcoo	et
honnestement	ADVgen	honnêtement
gouvernée	VERppe	gouverner
.	PONfrt	.

Item	ETR	item
,	PONfbl	,
devant	PRE	devant
celledicte	DETcom	celedit
eglise	NOMcom	église
,	PONfbl	,
au	PRE.DETdef	a
get	NOMcom	jet
d'	PRE	de
un	DETndf	un
pois	NOMcom	pois
,	PONfbl	,
a	PRE	a
un	DETndf	un
muscat	NOMcom	muscat
de	PRE	de
Sarrazins	NOMpro	Sarrasin
,	PONfbl	,
c'	PROdem	ce
est	VERcjg	estre
assavoir	VERinf	assavoir
une	DETndf	un
oratoire	NOMcom	oratoire
faicte	VERppe	faire
ainsi	ADVgen	ainsi
comme	CONsub	comme
a	PRE	a
la	DETdef	le
maniere	NOMcom	manière
d'	PRE	de
une	DETndf	un
chappelle	NOMcom	chapelle
.	PONfrt	.

Illec	ADVgen	illuec
fistrent	VERcjg	faire
nos	DETpos	notre
drugemens	NOMcom	drugement
leurs	DETpos	leur
oroisons	NOMcom	oraison
,	PONfbl	,
et	CONcoo	et
ainsi	ADVgen	ainsi
font	VERcjg	faire
les	DETdef	le
autres	ADJind	autre
Sarrazins	NOMpro	Sarrasin
qui	PROrel	que
ondit	VERppe	ondire
mont	NOMcom	monde
de	PRE	de
Sinay	NOMpro	Sinay
vont	VERcjg	aler
en	PRE	en
pelerinage	NOMcom	pèlerinage
.	PONfrt	.

Item	ETR	item
,	PONfbl	,
dessoubz	PRE	dessous
le	DETdef	le
mur	NOMcom	mur
d'	PRE	de
icellui	DETdem	cil
muscat	NOMcom	muscat
de	PRE	de
Sarrazins	NOMpro	Sarrasin
est	VERcjg	estre
la	DETdef	le
bosve	NOMcom	bosve
en	PRE	en
laquelle	PROrel	lequel
Moyse	NOMpro	Moise
jeuna	VERcjg	jeûner
.XL	PROcar	quarante
.	PONfrt	.

jours	NOMcom	jour
en	PRE	en
faisant	VERppa	faire
sa	DETpos	son
penitance	NOMcom	penitence
,	PONfbl	,
et	CONcoo	et
est	VERcjg	estre
en	PRE	en
ung	DETndf	un
anglet	NOMcom	anget
a	PRE	a
senestre	ADJqua	senestre
main	NOMcom	main
dudit	PRE.DETcom	de.ledit
muscat	VERcjg	muscher
.	PONfrt	.

Item	ETR	item
,	PONfbl	,
dès	PRE	dès
devant	PRE	devant
ladite	DETcom	ledit
chappelle	NOMcom	chapelle
Moyse	NOMpro	Moise
,	PONfbl	,
peut	VERcjg	pouvoir
l'en	PROind	loin
veoir	VERinf	vëoir
la	DETdef	le
Rouge	ADJqua	rouge
mer	NOMcom	mer
qui	PROrel	que
est	VERcjg	estre
moult	ADVgen	moult
loing	ADVgen	loing
de	PRE	de
la	ADVgen	là
.	PONfrt	.

Nous	PROper	nous
descendismes	VERcjg	descendre
de	PRE	de
celle	DETdem	cil
montaigne	NOMcom	montagne
de	PRE	de
Sinay	NOMpro	Sinay
,	PONfbl	,
c'	PROdem	ce
est	VERcjg	estre
assavoir	VERinf	assavoir
du	PRE.DETdef	de.le
costel	NOMcom	coutel
devers	PRE	devers
la	DETdef	le
montaigne	NOMcom	montagne
ou	PROrel	où
saincte	ADJqua	saint
Katherine	NOMpro	Catherine
fut	VERcjg	être
portée	VERppe	porter
par	PRE	par
les	DETdef	le
sains	ADJqua	saint
Anges	NOMcom	ange
au	PRE.DETdef	a
commandement	NOMcom	commandement
de	PRE	de
Nostre	DETpos	notre
Seigneur	NOMcom	seigneur
,	PONfbl	,
apprès	PRE	après
ce	PROdem	ce
qu'	CONsub	que
elle	PROper	elle
fut	VERcjg	être
decollée	VERppe	decoler
en	PRE	en
la	DETdef	le
cité	NOMcom	cité
d'	PRE	de
Alixendre	NOMpro	Alixandre
en	PRE	en
Egipte	NOMpro	Égipte
;	PONfbl	;
et	CONcoo	et
y	PROadv	y
a	VERcjg	avoir
d'	PRE	de
illec	ADVgen	illuec
jusques	PRE	jusque
en	PRE	en
Alixendre	NOMpro	Alixandre
du	PRE.DETdef	de.le
moings	NOMcom	moin
.XIIIJ	PROcar	quatorze
.	PONfrt	.

journées	NOMcom	journée
aspres	ADJqua	aspre
tout	ADVgen	tout
par	PRE	par
desers	NOMcom	déser
.	PONfrt	.

Sur	PRE	sur
celle	DETdem	cil
montaigne	NOMcom	montagne
fust	VERcjg	estre
son	DETpos	son
corps	NOMcom	corps
plusieurs	DETind	plusieurs
années	NOMcom	année
.	PONfrt	.

Sur	PRE	sur
ceste	DETdem	cest
montaigne	NOMcom	montagne
qui	PROrel	que
est	VERcjg	estre
de	PRE	de
trop	ADVgen	trop
plus	ADVgen	plus
haute	ADJqua	haut
que	CONsub	que
la	DETdef	le
montaigne	NOMcom	montagne
de	PRE	de
Sinay	NOMpro	Sinay
devantdicte	VERcjg	devantditer
,	PONfbl	,
et	CONcoo	et
que	CONsub	que
les	DETdef	le
aucuns	PROind	aucun
appellent	VERcjg	appeler
la	DETdef	le
montaigne	NOMcom	montagne
Saincte	ADJqua	saint
Katherine	NOMpro	Catherine
,	PONfbl	,
non	ADVneg	non
obstant	VERppa	obster
que	CONsub	que
selon	PRE	selon
l'	DETdef	le
Escripture	NOMcom	écriture
toutes	DETind	tous
les	DETdef	le
montaignes	NOMcom	montagne
qui	PROrel	que
sont	VERcjg	estre
illec	ADVgen	illuec
environ	ADVgen	environ
sont	VERcjg	estre
appellées	VERppe	appeler
le	DETdef	le
monlt	NOMcom	mondel
de	PRE	de
Sinay	NOMpro	Sinay
,	PONfbl	,
sur	PRE	sur
laquelle	PROrel	lequel
le	DETdef	le
corps	NOMcom	corps
de	PRE	de
la	DETdef	le
vierge	NOMcom	vierge
Katherine	NOMpro	Catherine
fut	VERcjg	être
longuement	ADVgen	longuement
,	PONfbl	,
sachiés	VERcjg	savoir
qu'	CONsub	que
il	PROimp	il
n'	ADVneg	ne
y	PROadv	y
a	VERcjg	avoir
nul	DETind	nul
ediffice	NOMcom	édifice
,	PONfbl	,
ne	CONcoo	ne
aultre	DETind	autre
apparance	NOMcom	apparence
n'	ADVneg	ne
y	PROadv	y
verrez	VERcjg	voir
fors	PRE	fors
une	DETndf	un
pierre	NOMcom	piere
,	PONfbl	,
qui	PROrel	que
encor	ADVgen	encore
y	PROadv	y
est	VERcjg	estre
,	PONfbl	,
ainsi	ADVgen	ainsi
come	CONsub	come
de	PRE	de
la	DETdef	le
longueur	NOMcom	longueur
d'	PRE	de
une	DETndf	un
personne	NOMcom	personne
.	PONfrt	.

Et	CONcoo	et
illec	ADVgen	illuec
peut	VERcjg	pouvoir
on	PROind	on
bien	ADVgen	bien
veoir	VERinf	vëoir
bel	ADJqua	bel
miracle	NOMcom	miracle
:	PONfbl	:
sur	PRE	sur
celledicte	DETcom	celedit
pierre	NOMcom	piere
fut	VERcjg	être
mis	VERppe	metre
le	DETdef	le
corps	NOMcom	corps
de	PRE	de
saincte	ADJqua	saint
Katherine	NOMpro	Catherine
par	PRE	par
les	DETdef	le
sains	ADJqua	saint
Anges	NOMcom	ange
,	PONfbl	,
et	CONcoo	et
voit	VERcjg	vëoir
on	PROind	on
que	CONsub	que
les	DETdef	le
oiseaulx	NOMcom	oiseau
esmatissent	VERcjg	esmatir
tous	PROind	tous
environ	PRE	environ
icelle	DETdem	cil
pierre	NOMcom	piere
sur	PRE	sur
les	DETdef	le
autres	PROind	autre
,	PONfbl	,
et	CONcoo	et
point	ADVneg	point
n'	ADVneg	ne
esmatissent	VERcjg	esmatir
sur	PRE	sur
ladicte	DETcom	ladit
pierre	NOMcom	piere
sur	PRE	sur
laquelle	PROrel	lequel
ledit	DETcom	ledit
corps	NOMcom	corps
de	PRE	de
la	DETdef	le
saincte	NOMcom	sainte
fut	VERcjg	être
mis	VERppe	metre
.	PONfrt	.

Entre	PRE	entre
ces	DETdem	ce
deux	ADJcar	deux
montaignes	NOMcom	montagne
a	VERcjg	avoir
une	DETndf	un
grant	ADJqua	grant
vallée	NOMcom	valeré
;	PONfbl	;
en	PRE	en
descendant	VERppa	descendre
illec	ADVgen	illuec
est	VERcjg	estre
le	DETdef	le
bel	ADJqua	bel
et	CONcoo	et
tresnoble	ADJqua	transoble
jardin	NOMcom	jardin
que	PROrel	que
l'en	PROind	loin
appelle	VERcjg	appeler
le	DETdef	le
“	PONpga	“
jardin	NOMcom	jardin
de	PRE	de
Moyse	NOMpro	Moise
”	PONpdr	”
,	PONfbl	,
qui	PROrel	que
tant	ADVgen	tant
est	VERcjg	estre
noble	ADJqua	noble
et	CONcoo	et
bel	ADJqua	bel
et	CONcoo	et
long	ADJqua	long
.	PONfrt	.

En	PRE	en
cedit	DETdem	cedit
jardin	NOMcom	jardin
peut	VERcjg	pouvoir
l'en	PROind	loin
veoir	VERinf	vëoir
toutes	DETind	tous
manieres	NOMcom	manière
d'	PRE	de
arbres	NOMcom	arbre
tant	ADVgen	tant
portans	VERppa	porter
fruit	NOMcom	fruit
comme	CONsub	comme
autres	PROind	autre
,	PONfbl	,
lesquelz	PROrel	lequel
sont	VERcjg	estre
si	ADVgen	si
tresbien	ADVgen	tresbien
gouvernez	VERppe	gouverner
et	CONcoo	et
ordonnez	VERppe	ordonner
que	CONsub	que
l'	DETdef	le
on	PROind	on
ne	ADVneg	ne
sauroit	VERcjg	savoir
mieulx	ADVgen	mieux
diviser	VERinf	deviser
.	PONfrt	.

Quant	CONsub	quand
au	PRE.DETdef	a
courtillage	NOMcom	courtillage
dudit	PRE.DETcom	de.ledit
jardin	NOMcom	jardin
,	PONfbl	,
sachiez	VERcjg	savoir
qu'	CONsub	que
il	PROper	il
est	VERcjg	estre
bien	ADVgen	bien
labourez	VERppe	labourer
et	CONcoo	et
bien	ADVgen	bien
ahanez	VERppe	ahaner
tout	ADVgen	tout
du	PRE.DETdef	de.le
long	NOMcom	loin
,	PONfbl	,
et	CONcoo	et
sachiés	VERcjg	savoir
que	CONsub	que
icellui	DETdem	cil
jardin	NOMcom	jardin
a	VERcjg	avoir
bien	ADVgen	bien
de	PRE	de
long	ADJqua	long
demye	ADJqua	demi
lieue	NOMcom	lieue
,	PONfbl	,
et	CONcoo	et
est	VERcjg	estre
plus	ADVgen	plus
large	ADJqua	large
en	PRE	en
un	DETndf	un
lieu	NOMcom	lieu
que	CONsub	que
en	PRE	en
ung	DETndf	un
aultre	PROind	autre
,	PONfbl	,
selon	PRE	selon
que	CONsub	que
les	DETdef	le
montaignes	NOMcom	montagne
sont	VERcjg	estre
ordonnées	VERppe	ordonner
.	PONfrt	.

Encor	ADVgen	encore
y	PROadv	y
a	VERcjg	avoir
dedans	PRE	dedans
cellui	DETdem	cil
jardin	NOMcom	jardin
fonteines	NOMcom	fontaine
bonnes	ADJqua	bon
et	CONcoo	et
belles	ADJqua	beau
,	PONfbl	,
par	PRE	par
lesquelles	PROrel	lequel
il	PROper	il
est	VERcjg	estre
arrousés	VERppe	arrouser
et	CONcoo	et
amoitiz	VERppe	amoitier
ainsi	ADVgen	ainsi
comme	CONsub	comme
par	PRE	par
force	NOMcom	force
quant	CONsub	cant
besoing	NOMcom	besoing
est	VERcjg	estre
,	PONfbl	,
c'	PROdem	ce
est	VERcjg	estre
a	PRE	a
dire	VERinf	dire
que	CONsub	que
l'en	PROind	loin
y	PROadv	y
fait	VERcjg	faire
monter	VERinf	monter
l'	DETdef	le
eaue	NOMcom	eau
du	PRE.DETdef	de.le
bas	ADJqua	bas
on	PROind	on
hault	ADVgen	haut
;	PONfbl	;
et	CONcoo	et
en	PRE	en
verité	NOMcom	verité
le	DETdef	le
lieu	NOMcom	lieu
est	VERcjg	estre
si	ADVgen	si
sec	ADJqua	sec
et	CONcoo	et
desert	ADJqua	désert
que	CONsub	que
c'	PROdem	ce
est	VERcjg	estre
merveille	NOMcom	merveille
commant	ADVsub	comment
il	PROper	il
y	PROadv	y
peut	VERcjg	pouvoir
rien	PROind	rien
croistre	VERinf	croistre
.	PONfrt	.

Ainssin	ADVgen	ainsi
come	CONsub	come
près	ADVgen	près
du	PRE.DETdef	de.le
milieu	NOMcom	milieu
de	PRE	de
cedit	DETdem	cedit
jardin	NOMcom	jardin
a	VERcjg	avoir
une	DETndf	un
belle	ADJqua	beau
chappelle	NOMcom	chapelle
et	CONcoo	et
maisons	NOMcom	maison
entour	PRE	entour
bien	ADVgen	bien
closes	VERppe	clore
et	CONcoo	et
fermées	VERppe	fermer
de	PRE	de
bons	ADJqua	bon
murs	NOMcom	mur
;	PONfbl	;
illec	ADVgen	illuec
est	VERcjg	estre
la	DETdef	le
residence	NOMcom	résidence
des	PRE.DETdef	de.le
freres	NOMcom	frère
de	PRE	de
Saincte	ADJqua	saint
Katherine	NOMpro	Catherine
qui	PROrel	que
gouvernent	VERcjg	gouverner
icellui	DETdem	cil
noble	ADJqua	noble
jardin	NOMcom	jardin
.	PONfrt	.

Et	CONcoo	et
sachiés	VERcjg	savoir
qu'	CONsub	que
il	PROper	il
porte	VERcjg	porter
grant	ADJqua	grant
soustenance	NOMcom	soutenance
a	PRE	a
l'	DETdef	le
abaye	NOMcom	abbaye
de	PRE	de
Saincte	ADJqua	saint
Katherine	NOMpro	Catherine
,	PONfbl	,
car	CONcoo	car
il	PROimp	il
y	PROadv	y
croist	VERcjg	croistre
grant	ADJqua	grant
plenté	NOMcom	plenté
de	PRE	de
biens	NOMcom	bien
.	PONfrt	.

Mais	CONcoo	mais
nul	PROind	nul
ne	ADVneg	ne
croiroit	VERcjg	croire
le	DETdef	le
tresbel	NOMcom	traisbel
et	CONcoo	et
tresnoble	ADJqua	transoble
jardin	NOMcom	jardin
que	PROrel	que
ce	PROdem	ce
peut	VERcjg	pouvoir
estre	VERinf	estre
et	CONcoo	et
les	DETdef	le
belles	ADJqua	beau
fonteines	NOMcom	fontaine
faictes	VERppe	faire
par	PRE	par
ordonnance	NOMcom	ordonnance
qui	PROrel	que
y	PROadv	y
sont	VERcjg	estre
,	PONfbl	,
consideré	VERppe	considérer
le	DETdef	le
desert	ADJqua	désert
lieu	NOMcom	lieu
ou	PROrel	où
il	PROper	il
est	VERcjg	estre
assis	VERppe	assëoir
.	PONfrt	.

Illec	ADVgen	illuec
nous	PROper	nous
furent	VERcjg	estre
admenez	VERppe	amener
nos	DETpos	notre
asnes	NOMcom	asne
pour	PRE	pour
chevaulchier	VERinf	chevauchier
.	PONfrt	.

Si	ADVgen	si
montasmes	VERcjg	monter
sus	ADVgen	sus
et	CONcoo	et
retournasmes	VERcjg	retourner
a	PRE	a
Saincte	ADJqua	saint
Katherine	NOMpro	Catherine
tout	DETind	tout
le	DETdef	le
pendant	VERppa	pendre
par	PRE	par
la	DETdef	le
pleine	ADJqua	plein
autour	NOMcom	autel
de	PRE	de
ces	DETdem	ce
haultes	ADJqua	haut
montaignes	NOMcom	montagne
.	PONfrt	.

Quant	CONsub	quand
nous	PROper	nous
eusmes	VERcjg	avoir
bien	ADVgen	bien
visité	VERppe	visiter
le	DETdef	le
sainct	ADJqua	saint
lieu	NOMcom	lieu
de	PRE	de
Saincte	ADJqua	saint
Katherine	NOMpro	Catherine
et	CONcoo	et
d'	PRE	de
environ	ADVgen	environ
,	PONfbl	,
comme	CONsub	comme
dit	VERppe	dire
est	VERcjg	estre
,	PONfbl	,
et	CONcoo	et
nous	PROper	nous
y	PROadv	y
eusmes	VERcjg	avoir
esté	VERppe	être
par	PRE	par
trois	DETcar	trois
jours	NOMcom	jour
et	CONcoo	et
demy	NOMcom	demi
,	PONfbl	,
si	ADVgen	si
nous	PROper	nous
ordonnasmes	VERcjg	ordonner
de	PRE	de
mettre	VERinf	mettre
a	PRE	a
chemy	NOMcom	chemi
pour	PRE	pour
venir	VERinf	venir
en	PRE	en
Egipte	NOMpro	Égipte
tout	ADVgen	tout
par	PRE	par
desers	NOMcom	déser
.	PONfrt	.

Nous	PROper	nous
partismes	VERcjg	partir
de	PRE	de
Saincte	ADJqua	saint
Katherine	NOMpro	Catherine
le	DETdef	le
